episode_id,object_type,episode_dir,task,num_actions,duration_s,converged,termination_reason,truncated,num_chunks,num_images,actions_csv,manual_success,verdict_description,verdict_reason,oscillation_class,sl_major_rev,ef_major_rev,total_major_rev,sl_range,ef_range,sl_rev_per_s,ef_rev_per_s,max_rev_per_s,sl_mean_v,ef_mean_v
bag__075_bag,bag,075_bag,put the bag on the tray,1150,52.8,TRUE,,FALSE,46,93,actions/bag__075_bag.csv,FALSE,"This is an unusually long episode (46 chunks, over 50 seconds). The pouch starts at top-left and banana leans into the tray at top-right. The arm grips the pouch early on and rotates it through a wide arc across many frames, eventually setting it down beside a spiky-furred plush toy that appears mid-episode. From roughly the halfway point onward the scene barely changes at all for the remaining ~25 seconds: the pouch sits static next to the plush, which itself rests against the tray (visible pink edge peeking out from behind the plush), while the gripper stays mostly parked.","The episode stalls for its second half without depositing the pouch on the tray; the object nearest the tray at the end is the plush distractor, not the pouch.",normal,33,27,60,121.8,106.1,0.793,0.649,0.793,1.666,1.3
bag__082_bag,bag,082_bag,put the bag on the tray,597,30.8,TRUE,,FALSE,25,51,actions/bag__082_bag.csv,TRUE,"Plush toy and banana start at top-left/top with an empty tray at right; the pouch is initially tucked out of clear view near the plush. The gripper works into the cluster, and partway through lifts a dark object (the pouch) clear of the surface, rotating it overhead. It is carried right and lowered toward the tray. In the final frames the plush (now visibly ruffled from contact) sits at top-left, the banana is below it, and the pouch rests at the right with the tray's pink edge visible beneath it.",The pouch ends the episode resting on the tray after being grasped and carried there.,normal,8,3,11,149.4,145.6,0.364,0.136,0.364,1.085,0.988
bag__089_bag,bag,089_bag,put the bag on the tray,103,11.3,TRUE,,FALSE,4,9,actions/bag__089_bag.csv,FALSE,"The scene is completely static from the first frame to the last: pouch at top-left, plush at top-right on the tray, banana in between. The gripper never leaves its parked starting pose in any of the sampled frames across the entire 11-second episode - no approach, no reach, no grasp attempt of any kind is visible.",Zero movement: the arm does not move or attempt to interact with any object for the episode's whole duration.,zero_movement,0,0,0,1.5,2,0,0,0,0.259,0.308
bag__092_bag,bag,092_bag,put the bag on the tray,105,11.2,TRUE,,FALSE,5,11,actions/bag__092_bag.csv,FALSE,"As with the previous short episode, every sampled frame across the full ~11 seconds is essentially identical: pouch at top-left, plush at top-right near the tray, banana between them, and the gripper motionless in its starting pose throughout.",Zero movement: no approach or grasp attempt is visible at any point in the episode.,zero_movement,0,0,0,1.2,1.7,0,0,0,0.252,0.257
bag__096_bag,bag,096_bag,put the bag on the tray,124,9.5,TRUE,,FALSE,4,9,actions/bag__096_bag.csv,FALSE,"Again the scene is static throughout the entire episode: pouch, plush, and banana remain in their starting arrangement in every frame, and the gripper does not move from its initial resting position at any sampled timestep.",Zero movement: the arm makes no attempt to approach or grasp any object.,zero_movement,0,0,0,2.2,1.6,0,0,0,0.33,0.356
bag__103_bag,bag,103_bag,put the bag on the tray,663,32.7,TRUE,,FALSE,27,55,actions/bag__103_bag.csv,FALSE,"Pouch starts at top-left with the plush toy at top-right; a banana becomes visible later in the sequence. The gripper reaches in, clearly grasps and lifts the pouch around a third of the way through, rotating it through a long overhead arc across many frames, then lowers it near the plush and tray region. In the final frames the pouch rests above/behind the tray next to the plush, while the banana has ended up resting inside the tray itself.","Wrong object ends on the tray: despite a clear, sustained grasp of the pouch, it is the banana that is ultimately deposited on the tray, not the pouch.",normal,6,2,8,145.4,148.5,0.24,0.08,0.24,1.077,0.981
box__000_box,box,000_box,put the box on the tray,433,22.3,TRUE,,FALSE,17,35,actions/box__000_box.csv,TRUE,"Plush toy and pouch start at top-left with banana below and an empty tray at right. The arm reaches in, closes on the pouch around a third of the way through, lifts it clear of the surface and carries it down and to the right across several frames of rotation. In the final frames the banana sits at far left, the plush is at top, and the pouch rests at the right with the tray's pink edge visible peeking out around it.",Pouch is carried across the workspace and ends resting on the tray in the final frames.,normal,8,3,11,130.8,129.9,0.516,0.194,0.516,1.249,1.167
box__007_box,box,007_box,put the box on the tray,400,23.3,TRUE,,FALSE,17,35,actions/box__007_box.csv,TRUE,"Plush toy starts at top-left with the banana draped across it, pouch beneath, tray empty at right. The gripper works into the cluster, grips the pouch and lifts it around the midpoint of the episode, carrying it down and to the right with a clear rotation. By the final frames the plush is at left, banana in the middle, and the pouch is resting at the right with the tray's edges visible around it.",Pouch is transported and ends the episode sitting on the tray.,normal,5,2,7,131.9,132.9,0.314,0.126,0.314,1.056,1.023
box__015_box,box,015_box,put the box on the tray,591,30,TRUE,,FALSE,24,49,actions/box__015_box.csv,TRUE,"Pouch starts at top-left with the plush toy behind it and banana below; tray empty at top-right. The gripper approaches, grasps the pouch firmly around a quarter of the way through and lifts it horizontally, carrying it rightward over many frames. In the final frames the plush sits at left, banana in the middle, and the pouch rests at the right directly on the tray with its pink edges visible around it.",Pouch ends the episode clearly resting on the tray.,normal,7,13,20,162.7,160,0.318,0.591,0.591,1.298,1.343
box__022_box,box,022_box,put the box on the tray,466,25.7,TRUE,,FALSE,19,39,actions/box__022_box.csv,FALSE,"Pouch starts at top-left, banana below, tray empty at top-right, with the plush toy revealed mid-episode as the arm works into the cluster. Partway through, the gripper clamps onto the plush toy rather than the pouch, lifts it, and carries it down onto the tray. In the final frames the plush sits on the tray next to the banana, while the pouch remains near its original position at the top, untouched.","Wrong object grasped: the plush toy was placed on the tray while the pouch, the actual target, was never moved onto it.",normal,6,1,7,124.7,108.3,0.345,0.057,0.345,1.122,0.96
box__029_box,box,029_box,put the box on the tray,592,30.5,TRUE,,FALSE,24,49,actions/box__029_box.csv,TRUE,"Pouch begins at top-left with plush behind it and an empty tray at top-right. The gripper reaches in, grasps the pouch around a third of the way through and carries it through a wide rotating arc across many frames before lowering it toward the tray. In the final frames the plush sits at left and the pouch rests on the tray at right (edges visible around it); a human hand briefly reaches into frame near the very end, but the pouch is already in place on the tray by that point.",Pouch ends the episode resting on the tray.,normal,4,4,8,140,143.5,0.183,0.183,0.183,0.978,0.927
box__036_box,box,036_box,put the box on the tray,546,29,TRUE,,FALSE,23,47,actions/box__036_box.csv,TRUE,"Pouch starts at top-left beside the plush toy, banana below, tray empty at top-right. The arm engages the pouch early on, lifting and rotating it through a long overhead arc, then lowers it toward the right side of the workspace. In the final frames the plush sits at left and the (now larger-looking, unrolled) pouch rests directly on the tray with its pink edges clearly visible around it.","Pouch is grasped, carried, and ends resting on the tray.",normal,7,5,12,146.9,131.8,0.352,0.251,0.352,1.049,0.969
box__043_box,box,043_box,put the box on the tray,494,26.9,TRUE,,FALSE,21,43,actions/box__043_box.csv,TRUE,"Banana starts at top-left, pouch below it, and the plush already resting on/near the tray at top-right. The gripper works into the pouch, grasps and lifts it around the midpoint, then carries it rightward toward the tray. In the final frames the banana sits at left and the pouch rests on the tray with the plush now perched on top of it, tray edges visible around the pouch.",Pouch ends the episode resting on the tray (with the plush toy having landed on top of it).,normal,4,0,4,113.2,103.2,0.215,0,0.215,0.923,0.76
box__050_box,box,050_box,put the box on the tray,463,24.5,TRUE,,FALSE,19,39,actions/box__050_box.csv,TRUE,"Pouch starts at top-left with the plush at right, tray empty and visible. The gripper approaches, grips the pouch firmly around a third of the way through, lifting and carrying it rightward through several frames of rotation. In the final frames the pouch (now appearing larger/unrolled) rests on the tray at right with its pink edges visible, the plush sits just above it, and the banana is at bottom-left.",Pouch is transported and ends resting on the tray.,normal,2,2,4,151.7,145.7,0.116,0.116,0.116,1.114,1.04
box__057_box,box,057_box,put the box on the tray,541,26.7,TRUE,,FALSE,22,45,actions/box__057_box.csv,TRUE,"Pouch starts at top-left, plush at top-right on the tray, banana below. The arm engages in extensive, sustained manipulation of the pouch across many frames - lifting, rotating, and repositioning it repeatedly - before finally lowering it to the right. In the final frames the banana sits at bottom-left and the pouch rests directly on the tray, its pink edges visible, with the plush just above it.","Despite a long and effortful sequence, the pouch is ultimately deposited on the tray.",normal,2,0,2,139.8,133.8,0.102,0,0.102,0.892,0.825
box__064_box,box,064_box,put the box on the tray,146,13.4,TRUE,,FALSE,6,13,actions/box__064_box.csv,FALSE,"The scene is essentially static across the entire (short, ~13 second) episode: plush at top-left, pouch below it, banana leaning onto the tray at top-right. The gripper remains in its starting pose in every sampled frame, with no visible approach or grasp attempt toward any object.",Zero movement: the arm does not engage any object for the episode's duration.,zero_movement,0,0,0,1.9,3,0,0,0,0.332,0.306
box__071_box,box,071_box,put the box on the tray,421,22.9,TRUE,,FALSE,17,35,actions/box__071_box.csv,FALSE,"Plush toy starts overlapping the pouch at top-left, with the banana already leaning onto the tray at top-right from the very first frame. The gripper works into the cluster and separates the plush from the pouch, at points lifting and rotating a dark elongated object over many frames, but by the final frames the pouch has only been relocated to the bottom-left of the frame, well away from the tray; the banana's position on the tray is unchanged from the start (it was never moved there by the arm).",The pouch is displaced but not delivered to the tray; the only object touching the tray at the end was already there at the start of the episode.,normal,5,5,10,130.5,123.9,0.329,0.329,0.329,1.514,1.243
box__078_box,box,078_box,put the box on the tray,1006,47,TRUE,,FALSE,41,83,actions/box__078_box.csv,TRUE,"This is a very long episode (41 chunks, ~37+ seconds of logged motion). Pouch and plush start overlapping at top-left with the banana already leaning onto the tray. The arm engages in extended, repeated manipulation of the pouch and plush - multiple lifts, rotations, and repositionings across many frames. In the final frames the gripper withdraws and the pouch is left resting on the tray with its pink edges visible around it, the plush's fur visible just behind it, and the banana beside it.","After extended manipulation, the pouch ends the episode resting on the tray.",normal,20,20,40,147.7,133.1,0.549,0.549,0.549,1.272,1.143
box__085_box,box,085_box,put the box on the tray,103,11.1,TRUE,,FALSE,4,9,actions/box__085_box.csv,FALSE,"The scene is completely static across the whole (short, ~11 second) episode: plush at top-right, pouch at top-left, banana leaning onto the tray between them. The gripper never leaves its parked starting pose in any sampled frame.",Zero movement: no approach or grasp attempt is visible at any point.,zero_movement,0,0,0,1.4,1.9,0,0,0,0.264,0.284
box__099_box,box,099_box,put the box on the tray,177,10.9,TRUE,,FALSE,7,15,actions/box__099_box.csv,FALSE,"Pouch starts at top-left, banana leaning onto the tray at top-right with the plush above it. Across the episode the gripper shows only a very slight tilt/jitter in place late in the sequence, but never approaches or makes contact with any object; the pouch, banana, and plush all remain in their starting positions and orientations throughout.",No meaningful movement or grasp attempt: the arm does not engage any object and the tray's contents are unchanged from the start.,zero_movement,0,0,0,3.4,3.1,0,0,0,0.371,0.325
brown__001_brown,brown,001_brown,put the brown pouch on the tray,481,25,TRUE,,FALSE,20,41,actions/brown__001_brown.csv,TRUE,"Pouch sits at top-left beneath the plush toy with banana at left and an empty tray at top-right. The gripper works into the pouch, grips and lifts it around a third of the way through, carrying it through a long rotating arc across many frames. In the final frames the banana is at left, plush in the middle, and the pouch rests at right with the tray's pink edges clearly visible around it.",Pouch ends the episode resting on the tray.,normal,6,6,12,124.5,128.2,0.343,0.343,0.343,1.064,1.007
brown__006_brown,brown,006_brown,put the brown cylinder on the tray,421,23.8,TRUE,,FALSE,17,35,actions/brown__006_brown.csv,TRUE,"Same starting layout as similar episodes: pouch at top-left under the plush, banana at left, tray empty at top-right. The arm grasps the pouch, lifts and rotates it extensively over many frames, then lowers it toward the tray. In the final frames the banana sits at left, plush in the middle, and the pouch rests at right with the tray's edges visible around it.","Pouch is transported and ends resting on the tray, despite the prompt using ""cylinder"" rather than ""pouch.""",normal,6,6,12,127.2,119.2,0.37,0.37,0.37,1.373,1.245
brown__008_brown,brown,008_brown,put the brown pouch on the tray,421,21.5,TRUE,,FALSE,17,35,actions/brown__008_brown.csv,TRUE,"Pouch begins at top-left with the plush behind it, banana at left, tray empty at top-right. The gripper engages the pouch, lifts and carries it rightward with rotation across the middle third of the episode. In the final frames the pouch is angled onto the tray with the pink edge visible peeking out around it; banana and plush sit to the left.",Pouch is delivered to and ends resting on the tray.,normal,4,4,8,129.2,131.9,0.258,0.258,0.258,1.139,0.991
brown__014_brown,brown,014_brown,put the brown cylinder on the tray,464,25.8,TRUE,,FALSE,19,39,actions/brown__014_brown.csv,TRUE,"Pouch starts at top-left beneath the plush with banana at left and the tray empty at top-right. The arm reaches in, grips the pouch, and carries it through a long rotating motion toward the tray over the episode's middle section. In the final frames the pouch rests diagonally on the tray with the pink edges clearly visible around it, plush and banana nearby.",Pouch is carried to and ends resting on the tray.,normal,6,6,12,131.4,137.4,0.345,0.345,0.345,1.317,1.156
brown__016_brown,brown,016_brown,put the brown pouch on the tray,470,25.9,TRUE,,FALSE,19,39,actions/brown__016_brown.csv,TRUE,"Pouch starts at top-left, plush behind it, banana at left, tray empty at top-right. The gripper grasps the pouch and lifts it through an extended rotation across the episode's middle section before lowering it toward the right. In the final frames the plush sits at left, banana in the middle, and the pouch rests on the tray with its edges visible around it.",Pouch ends the episode resting on the tray.,normal,9,10,19,150.9,159.4,0.503,0.559,0.559,1.384,1.488
brown__021_brown,brown,021_brown,put the brown cylinder on the tray,569,27.7,TRUE,,FALSE,23,47,actions/brown__021_brown.csv,TRUE,"Pouch starts at top-left with the plush behind it, banana at left, tray empty. The arm grips the pouch and carries it through a long, active rotation before lowering it to the right. In the final frames the plush is at left, banana in the middle, and the pouch rests on the tray with its pink edges visible around it.","Pouch ends the episode resting on the tray, despite the mismatched ""cylinder"" label.",normal,3,7,10,142.8,148.4,0.148,0.345,0.345,1.006,0.98
brown__023_brown,brown,023_brown,put the brown pouch on the tray,492,26,TRUE,,FALSE,20,41,actions/brown__023_brown.csv,TRUE,"Pouch begins at top-left beneath the plush, banana at left, tray empty at top-right. The gripper grasps and lifts the pouch, carrying it rightward with rotation through the episode's midsection. In the final frames the pouch rests on the tray with its edges visible, plush above it, banana to the left.",Pouch is delivered to and ends resting on the tray.,normal,0,4,4,158.2,149.3,0,0.22,0.22,1.029,0.983
brown__028_brown,brown,028_brown,put the brown cylinder on the tray,1326,60.9,TRUE,,FALSE,54,109,actions/brown__028_brown.csv,TRUE,"This is an unusually long, effortful episode (54 chunks, nearly 61 seconds) with extensive, repeated grasping, rotating, and repositioning of the pouch and plush across many frames - the arm appears to struggle and retry multiple times. Despite the prolonged difficulty, in the final frames the pouch ends resting on the tray with its pink edges visible, the plush perched on top of it, and the banana to the left.","Despite a long struggle, the pouch is ultimately deposited on the tray by the end of the episode.",normal,23,23,46,158.8,154.6,0.48,0.48,0.48,1.498,1.363
brown__030_brown,brown,030_brown,put the brown pouch on the tray,1326,62.9,FALSE,,FALSE,55,111,actions/brown__030_brown.csv,FALSE,"Another very long episode (55 chunks, nearly 63 seconds) with extensive back-and-forth manipulation of the pouch, plush, and banana throughout. Unlike its counterpart, this episode does not resolve cleanly: in the final frames the gripper is still reaching toward the pouch at the right edge of the frame, the tray is no longer visible in the shot, and the plush/banana remain at their displaced positions from earlier fumbling.",The episode ends mid-attempt without a confirmed placement on the tray; this episode is also flagged as not converged in the manifest.,normal,32,32,64,155.2,152.6,0.652,0.652,0.652,1.547,1.567
brown__035_brown,brown,035_brown,put the brown cylinder no the tray,543,28,TRUE,,FALSE,22,45,actions/brown__035_brown.csv,TRUE,"Pouch starts at top-left with the plush above it, tray empty at top-right. The gripper grips the pouch and carries it through a rotating motion toward the tray over the episode's middle section. In the final frames the pouch rests on the tray, its pink edges partially visible beneath it, with the plush above.",Pouch ends the episode resting on the tray.,normal,6,3,9,136.8,126.2,0.306,0.153,0.306,0.979,0.953
brown__037_brown,brown,037_brown,put the brown pouch on the tray,541,27.2,TRUE,,FALSE,22,45,actions/brown__037_brown.csv,TRUE,"Pouch begins at top-left beneath the plush, tray empty at top-right. The arm grasps the pouch and lifts/rotates it across the episode's middle section before lowering it to the right. In the final frames the pouch rests on the tray with its edges clearly visible, plush at left.",Pouch ends the episode resting on the tray.,normal,6,4,10,134.8,134.4,0.302,0.201,0.302,1.176,1.048
brown__042_brown,brown,042_brown,put the brown pouch on the tray,494,25.2,TRUE,,FALSE,20,41,actions/brown__042_brown.csv,TRUE,"Pouch starts at top-left with the plush nearby, tray empty at top-right. The gripper engages the pouch, lifts and carries it rightward with rotation. In the final frames the plush sits at left and the pouch rests directly on the tray with its edges visible around it.",Pouch ends the episode resting on the tray.,normal,12,8,20,134.6,119.9,0.67,0.447,0.67,1.413,1.138
brown__044_brown,brown,044_brown,put the brown pouch on the tray,392,20.6,TRUE,,FALSE,16,33,actions/brown__044_brown.csv,TRUE,"Pouch begins at top-left, banana below, plush nearby, tray empty at top-right. The arm grips the pouch and carries it toward the tray with rotation through the episode's midsection. In the final frames the banana is at left, and the pouch rests on the tray with the plush perched on top of it, tray edges visible.",Pouch ends the episode resting on the tray.,normal,4,1,5,108.2,92.6,0.282,0.07,0.282,1.305,0.959
brown__049_brown,brown,049_brown,put the brown cylinder on the tray,396,21.6,TRUE,,FALSE,16,33,actions/brown__049_brown.csv,TRUE,"Pouch starts at top-left, plush and banana nearby, tray empty at top-right. The gripper grasps the pouch and carries it rightward with rotation. In the final frames the banana is at left and the pouch rests on the tray with the plush on top of it, tray edges visible around the pouch.","Pouch ends the episode resting on the tray, despite the ""cylinder"" label.",normal,4,0,4,116.2,98.1,0.28,0,0.28,1.169,0.962
brown__051_brown,brown,051_brown,put the brown pouch on the tray,481,25.5,TRUE,,FALSE,20,41,actions/brown__051_brown.csv,TRUE,"Pouch starts at top-left with the plush behind it, tray empty at top-right. The arm grips the pouch, lifts, and carries it rightward through the middle of the episode. In the final frames the plush sits at right and the pouch rests horizontally on the tray with its pink edges visible around it.",Pouch ends the episode resting on the tray.,normal,4,5,9,149.6,156.3,0.226,0.282,0.282,1.273,1.244
brown__056_brown,brown,056_brown,put the brown cylinder on the tray,593,31.1,TRUE,,FALSE,25,51,actions/brown__056_brown.csv,TRUE,"Pouch begins at top-left, plush behind it, banana below, tray empty at top-right. The gripper engages the pouch and carries it rightward with rotation through the episode's midsection. In the final frames the banana is at left, and the pouch rests on the tray with the plush on top of it, tray edges visible.","Pouch ends the episode resting on the tray, despite the mismatched ""cylinder"" label.",normal,2,4,6,143.2,143.5,0.091,0.183,0.183,1.027,1.04
brown__058_brown,brown,058_brown,put the brown pouch on the tray,568,28.7,TRUE,,FALSE,23,47,actions/brown__058_brown.csv,TRUE,"Pouch and plush start overlapping at top-left, banana below, tray empty at top-right. The arm works the pouch loose, grasps and lifts it, then sets it down repeatedly near the plush before finally carrying it right. In the final frames the pouch rests on the tray with the plush on top of it, tray's pink edges visible on the left side.",Pouch ends the episode resting on the tray.,normal,11,11,22,137.1,127.4,0.526,0.526,0.526,1.392,1.257
brown__063_brown,brown,063_brown,put the brown cylinder on the tray,519,26,TRUE,,FALSE,21,43,actions/brown__063_brown.csv,TRUE,"Pouch starts at top-left with plush and banana nearby, tray empty at top-right. The gripper grasps the pouch and carries it rightward with a long rotating motion. In the final frames the banana sits at left and the pouch rests on the tray with the plush on top of it, tray edges visible.","Pouch ends the episode resting on the tray, despite the mismatched ""cylinder"" label.",normal,4,1,5,144,141.4,0.206,0.052,0.206,1.001,0.97
brown__065_brown,brown,065_brown,put the brown pouch on the tray,516,26,TRUE,,FALSE,21,43,actions/brown__065_brown.csv,TRUE,"Pouch begins at top-left, plush above it, tray empty at top-right. The arm grips the pouch and carries it rightward through the episode's midsection. In the final frames the plush sits at left and the pouch rests on the tray with its pink edges clearly visible around it.",Pouch ends the episode resting on the tray.,normal,11,9,20,133.6,122,0.582,0.476,0.582,1.507,1.302
brown__070_brown,brown,070_brown,put the brown cylinder on the tray,493,24.7,TRUE,,FALSE,20,41,actions/brown__070_brown.csv,TRUE,"Pouch starts at top-left with plush and banana nearby, tray empty at top-right. The gripper grasps the pouch, carries it rightward with rotation. In the final frames the plush sits at left, banana beside the pouch, which rests on the tray with its edges clearly visible.","Pouch ends the episode resting on the tray, despite the mismatched ""cylinder"" label.",normal,6,6,12,122.3,121.5,0.345,0.345,0.345,1.144,1.099
brown__072_brown,brown,072_brown,put the brown pouch on the tray,866,42,FALSE,,FALSE,36,73,actions/brown__072_brown.csv,FALSE,"Pouch and plush start overlapping at top-left with the banana already leaning onto the tray. The arm engages in extended manipulation of the cluster - repeated grasps, lifts, and repositioning across many frames - but by the final frames the pouch has ended up at the top-left away from the tray while the plush toy has landed on the tray (its pink edges visible beneath the plush).","Wrong object ends on the tray: the plush was deposited there instead of the pouch, and this episode is also flagged as not converged.",erratic,30,30,60,166.5,163.2,0.955,0.955,0.955,2.385,2.133
brown__077_brown,brown,077_brown,put the brown cylinder on the tray,421,22.6,TRUE,,FALSE,17,35,actions/brown__077_brown.csv,TRUE,"Pouch starts at top-left, plush and banana nearby, tray empty at top-right. The gripper grips the pouch and carries it rightward with rotation across the episode's midsection. In the final frames the pouch (now appearing larger, unrolled) rests directly on the tray with its pink edges clearly visible, plush on top and banana below near the gripper.","Pouch ends the episode resting on the tray, despite the mismatched ""cylinder"" label.",normal,0,0,0,121.8,109.1,0,0,0,1.042,0.905
brown__079_brown,brown,079_brown,put the brown pouch on the tray,541,27.9,TRUE,,FALSE,23,47,actions/brown__079_brown.csv,TRUE,"Pouch starts at top-left, plush and banana nearby, tray empty at top-right. The arm grasps the pouch and carries it rightward with rotation. In the final frames the pouch rests on the tray with its edges visible, the banana resting on top of it.",Pouch ends the episode resting on the tray.,normal,3,2,5,147.1,131.5,0.154,0.103,0.154,0.985,0.83
brown__084_brown,brown,084_brown,put the brown cylinder on the tray,641,33.6,TRUE,,FALSE,26,53,actions/brown__084_brown.csv,TRUE,"Pouch starts at top-left, plush and banana nearby, tray empty at top-right. The gripper engages the pouch through an extended sequence of grasps and rotations before carrying it to the right. In the final frames the plush sits at left, banana below the pouch, which rests on the tray with its pink edges clearly visible.","Pouch ends the episode resting on the tray, despite the mismatched ""cylinder"" label.",normal,3,4,7,138.3,142.5,0.126,0.168,0.168,0.95,0.895
